frame_index,step_time,eps11_bc,y_mm,u3_mean_mm,u3_min_mm,u3_max_mm,n_nodes
1,0.10000000149011612,0.0009999999776482583,9.21875,-0.006983604049310088,-0.008034753613173962,-0.005927471909672022,8
1,0.10000000149011612,0.0009999999776482583,9.375,-0.006772614317014813,-0.00788013357669115,-0.005659492686390877,8
1,0.10000000149011612,0.0009999999776482583,9.53125,-0.006522534182295203,-0.007683678530156612,-0.005340500734746456,8
1,0.10000000149011612,0.0009999999776482583,9.6875,-0.006064549088478088,-0.007425826508551836,-0.005000991281121969,7
1,0.10000000149011612,0.0009999999776482583,9.84375,-0.005886810831725597,-0.007084335200488567,-0.004687538370490074,6
1,0.10000000149011612,0.0009999999776482583,10.0,-0.00549868408900996,-0.006694485899060965,-0.004300841595977545,6
1,0.10000000149011612,0.0009999999776482583,10.15625,-0.005111387775590022,-0.00629980256780982,-0.003926339093595743,6
1,0.10000000149011612,0.0009999999776482583,10.3125,-0.004775317938765511,-0.00597351836040616,-0.0035984280984848738,8
1,0.10000000149011612,0.0009999999776482583,10.46875,-0.004475256864679977,-0.005631512496620417,-0.0033371089957654476,8
1,0.10000000149011612,0.0009999999776482583,10.625,-0.0042168669460806996,-0.005310090724378824,-0.0031297458335757256,8
1,0.10000000149011612,0.0009999999776482583,10.78125,-0.0040039902669377625,-0.0050393445417284966,-0.002969462424516678,8
1,0.10000000149011612,0.0009999999776482583,10.9375,-0.0038297131250146776,-0.0048186942003667355,-0.0028346602339297533,8
1,0.10000000149011612,0.0009999999776482583,11.09375,-0.0036947832559235394,-0.004642120096832514,-0.0027436232194304466,8
1,0.10000000149011612,0.0009999999776482583,11.25,-0.003600355121307075,-0.004490361083298922,-0.0027044150047004223,10
1,0.10000000149011612,0.0009999999776482583,11.40625,-0.0035101426959348223,-0.004334812052547932,-0.0026583995204418898,12
1,0.10000000149011612,0.0009999999776482583,11.5625,-0.0034319935560536883,-0.0042080627754330635,-0.00264121126383543,12
1,0.10000000149011612,0.0009999999776482583,11.71875,-0.003361114766448736,-0.004090514965355396,-0.002621043473482132,14
1,0.10000000149011612,0.0009999999776482583,11.875,-0.0032839052146300673,-0.003966334275901318,-0.002554891863837838,18
1,0.10000000149011612,0.0009999999776482583,12.03125,-0.0031969611927007255,-0.0038772167172282934,-0.0024787564761936665,26
1,0.10000000149011612,0.0009999999776482583,12.1875,-0.003121339383402041,-0.003932853229343891,-0.002384019084274769,42
1,0.10000000149011612,0.0009999999776482583,12.34375,-0.0030411843067178358,-0.0037861154414713383,-0.002281738445162773,65
1,0.10000000149011612,0.0009999999776482583,12.5,-0.0029143136890175253,-0.0036447811871767044,-0.002170686610043049,65
1,0.10000000149011612,0.0009999999776482583,12.65625,-0.002787472013957225,-0.0035333933774381876,-0.0020254619885236025,65
1,0.10000000149011612,0.0009999999776482583,12.8125,-0.002716049107468941,-0.003432034980505705,-0.0018829740583896637,44
1,0.10000000149011612,0.0009999999776482583,12.96875,-0.002635647112933489,-0.003336608177050948,-0.0019607888534665108,26
1,0.10000000149011612,0.0009999999776482583,13.125,-0.002548903854201651,-0.0032581861596554518,-0.0018777601653710008,18
1,0.10000000149011612,0.0009999999776482583,13.28125,-0.002472317511481898,-0.0031888338271528482,-0.0017637782730162144,14
1,0.10000000149011612,0.0009999999776482583,13.4375,-0.0024022289629404745,-0.0031645535491406918,-0.0016558831557631493,12
1,0.10000000149011612,0.0009999999776482583,13.59375,-0.0023249095926682153,-0.0031436667777597904,-0.0015330023597925901,12
1,0.10000000149011612,0.0009999999776482583,13.75,-0.002236347307916731,-0.003094235435128212,-0.0013825201895087957,10
1,0.10000000149011612,0.0009999999776482583,13.90625,-0.002145365928299725,-0.0030530805233865976,-0.0012417028192430735,8
1,0.10000000149011612,0.0009999999776482583,14.0625,-0.0020155608362983912,-0.002964208833873272,-0.0010739309946075082,8
1,0.10000000149011612,0.0009999999776482583,14.21875,-0.0018496162665542215,-0.0028363813180476427,-0.0008624291513115168,8
1,0.10000000149011612,0.0009999999776482583,14.375,-0.0016474473886773922,-0.0026901867240667343,-0.0006046127527952194,8
1,0.10000000149011612,0.0009999999776482583,14.53125,-0.001407062492944533,-0.002501208335161209,-0.0002958845579996705,8
1,0.10000000149011612,0.0009999999776482583,14.6875,-0.0009698242255191351,-0.002249143784865737,3.04518125631148e-05,7
1,0.10000000149011612,0.0009999999776482583,14.84375,-0.0007911631788980836,-0.0019110338762402534,0.0003301262913737446,6
1,0.10000000149011612,0.0009999999776482583,15.0,-0.0004087949055247009,-0.0015256023034453392,0.0007084595854394138,6
1,0.10000000149011612,0.0009999999776482583,15.15625,-2.4029305980851252e-05,-0.001134205493144691,0.0010792104294523597,6
1,0.10000000149011612,0.0009999999776482583,15.3125,0.000309840717818588,-0.0008152230293489993,0.0014080069959163666,8
1,0.10000000149011612,0.0009999999776482583,15.46875,0.0006069071750971489,-0.0004795916029252112,0.0016703471774235368,8
1,0.10000000149011612,0.0009999999776482583,15.625,0.0008623830963188084,-0.00016374092956539243,0.0018787244334816933,8
1,0.10000000149011612,0.0009999999776482583,15.78125,0.0010726858063208056,0.00010024870425695553,0.0020413431338965893,8
1,0.10000000149011612,0.0009999999776482583,15.9375,0.0012449825844669249,0.000315613899147138,0.002180319046601653,8
1,0.10000000149011612,0.0009999999776482583,16.09375,0.0013785293194814585,0.0004843698116019368,0.0022762513253837824,8
1,0.10000000149011612,0.0009999999776482583,16.25,0.0014720810810104012,0.0006253721076063812,0.002321962732821703,10
1,0.10000000149011612,0.0009999999776482583,16.40625,0.0015621253260178491,0.0007757447892799973,0.00237467628903687,12
1,0.10000000149011612,0.0009999999776482583,16.5625,0.001640415212023072,0.0008990640635602176,0.0023980161640793085,12
1,0.10000000149011612,0.0009999999776482583,16.71875,0.0017114999271663173,0.001005965401418507,0.002424179343506694,14
1,0.10000000149011612,0.0009999999776482583,16.875,0.001789133672395514,0.0011218328727409244,0.0024945170152932405,18
1,0.10000000149011612,0.0009999999776482583,17.03125,0.001876242731948598,0.0012067529605701566,0.002573481760919094,26
1,0.10000000149011612,0.0009999999776482583,17.1875,0.00195741416643035,0.0011356472969055176,0.0026692068204283714,44
1,0.10000000149011612,0.0009999999776482583,17.34375,0.0020339232242594543,0.001278822892345488,0.0027710432186722755,65
1,0.10000000149011612,0.0009999999776482583,17.5,0.0021595353475556923,0.0014206927735358477,0.0028833160176873207,65
1,0.10000000149011612,0.0009999999776482583,17.65625,0.002285248338459776,0.0015298309735953808,0.0030254845041781664,65
1,0.10000000149011612,0.0009999999776482583,17.8125,0.0023595832727468487,0.001629720674827695,0.0031730453483760357,44
1,0.10000000149011612,0.0009999999776482583,17.96875,0.0024379689219551017,0.0017225282499566674,0.0031166626140475273,26
1,0.10000000149011612,0.0009999999776482583,18.125,0.0025238217656604117,0.0017969916807487607,0.00320457830093801,18
1,0.10000000149011612,0.0009999999776482583,18.28125,0.002599462284706533,0.001861315337009728,0.0033264372032135725,14
1,0.10000000149011612,0.0009999999776482583,18.4375,0.002668767439899966,0.0018791884649544954,0.0034439966548234224,12
1,0.10000000149011612,0.0009999999776482583,18.59375,0.0027454338366320976,0.0018934637773782015,0.003569635096937418,12
1,0.10000000149011612,0.0009999999776482583,18.75,0.0028334871516563,0.001935432548634708,0.0037244493141770363,10
1,0.10000000149011612,0.0009999999776482583,18.90625,0.0029244741599541157,0.001969241304323077,0.003875357797369361,8
1,0.10000000149011612,0.0009999999776482583,19.0625,0.0030548118811566383,0.0020521527621895075,0.004050224553793669,8
1,0.10000000149011612,0.0009999999776482583,19.21875,0.003221871593268588,0.00217463169246912,0.004266673233360052,8
1,0.10000000149011612,0.0009999999776482583,19.375,0.0034258740779478103,0.0023173470981419086,0.00453075859695673,8
1,0.10000000149011612,0.0009999999776482583,19.53125,0.003668400429887697,0.002504405565559864,0.0048446343280375,8
1,0.10000000149011612,0.0009999999776482583,19.6875,0.004119124130478927,0.0027572959661483765,0.005177004728466272,7
1,0.10000000149011612,0.0009999999776482583,19.84375,0.004292892447362344,0.003100380999967456,0.005484144203364849,6
1,0.10000000149011612,0.0009999999776482583,20.0,0.0046809191117063165,0.0034926594235002995,0.005866087973117828,6
1,0.10000000149011612,0.0009999999776482583,20.15625,0.005072009710905452,0.0038930189330130816,0.006241691764444113,6
1,0.10000000149011612,0.0009999999776482583,20.3125,0.005412450002040714,0.004218867048621178,0.006574689410626888,8
1,0.10000000149011612,0.0009999999776482583,20.46875,0.005716660583857447,0.004561889450997114,0.006842955481261015,8
1,0.10000000149011612,0.0009999999776482583,20.625,0.0059795588604174554,0.004886339884251356,0.007058469112962484,8
1,0.10000000149011612,0.0009999999776482583,20.78125,0.006197600800078362,0.0051578255370259285,0.007230134215205908,8
1,0.10000000149011612,0.0009999999776482583,20.9375,0.006377960555255413,0.005384073127061129,0.007379358634352684,8
1,0.10000000149011612,0.0009999999776482583,21.09375,0.0065199132659472525,0.0055587682873010635,0.007486104965209961,8
1,0.10000000149011612,0.0009999999776482583,21.25,0.0066223812289536,0.005699722561985254,0.0075437892228364944,10
1,0.10000000149011612,0.0009999999776482583,21.40625,0.006721421726979315,0.005860557314008474,0.007608778774738312,12
